"id","title","file","uploaded_at"
"281","Blindspot_ Hidden Biases of Good People ( PDFDrive )","documents/Blindspot__Hidden_Biases_of_Good_People__PDFDrive_.pdf","2024-12-08 13:21:24.983981+05"
"282","Braving the Wilderness_ The Quest for True Belonging and the Courage to Stand Alone ( PDFDrive )","documents/Braving_the_Wilderness__The_Quest_for_True_Belonging_and_the_Courage_to_Stand_Alone__PDFDrive_.pdf","2024-12-08 13:21:24.987098+05"
"283","Crucial Conversations ( PDFDrive )","documents/Crucial_Conversations__PDFDrive_.pdf","2024-12-08 13:21:24.994108+05"
"284","Dare to Lead Like a Girl (Dalia Feldheim) (Z-Library)","documents/Dare_to_Lead_Like_a_Girl_Dalia_Feldheim_Z-Library.pdf","2024-12-08 13:21:25.000222+05"
"285","How to Work for an Idiot, Revised and Expanded with More Idiots, More Insanity, and More Incompetency_ Survive and Thrive Without Killing Your Boss ( PDFDrive )","documents/How_to_Work_for_an_Idiot_Revised_and_Expanded_with_More_Idiots_More_Insanity_and_More_Incompetency__Survive_and_Thrive_Without_Killing_Your_Boss__PDFDrive_.pdf","2024-12-08 13:21:25.00562+05"
"286","Miracle Morning Millionaires_ What the Wealthy Do Before 8AM That Will Make You Rich (The Miracle Morning Book 11) ( PDFDrive )","documents/Miracle_Morning_Millionaires__What_the_Wealthy_Do_Before_8AM_That_Will_Make_You_Rich_The_Miracle_Morning_Book_11__PDFDrive_.pdf","2024-12-08 13:21:25.011886+05"
"287","Radical Candor_ Be a Kick-Ass Boss Without Losing Your Humanity ( PDFDrive )","documents/Radical_Candor__Be_a_Kick-Ass_Boss_Without_Losing_Your_Humanity__PDFDrive_.pdf","2024-12-08 13:21:25.022467+05"
"288","Surrounded By Idiots (Thomas Erikson, David John) (Z-Library)","documents/Surrounded_By_Idiots_Thomas_Erikson_David_John_Z-Library.pdf","2024-12-08 13:21:25.029687+05"
"289","The Art of Work_ A Proven Path to Discovering What You Were Meant to Do ( PDFDrive )","documents/The_Art_of_Work__A_Proven_Path_to_Discovering_What_You_Were_Meant_to_Do__PDFDrive_.pdf","2024-12-08 13:21:25.033892+05"
"290","The Miracle Morning_ The Not-So-Obvious Secret Guaranteed to Transform Your Life ( PDFDrive )","documents/The_Miracle_Morning__The_Not-So-Obvious_Secret_Guaranteed_to_Transform_Your_Life__PDFDrive_.pdf","2024-12-08 13:21:25.037537+05"
"291","Thinking, Fast and Slow   ( PDFDrive )","documents/Thinking_Fast_and_Slow____PDFDrive_.pdf","2024-12-08 13:21:25.043637+05"
"292","Work Rules!_ Insights from Inside Google That Will Transform How You Live and Lead ( PDFDrive )","documents/Work_Rules__Insights_from_Inside_Google_That_Will_Transform_How_You_Live_and_Lead__PDFDrive_.pdf","2024-12-08 13:21:25.052805+05"
